Wed Mar 29 15:33:19 EDT 2017 |  coup(inscrit) H : a3c1
Wed Mar 29 15:33:19 EDT 2017 |  coup M : b7a6
Wed Mar 29 15:43:20 EDT 2017 |  coup(joue) H : c1e3
Wed Mar 29 15:43:20 EDT 2017 |  coup(inscrit) H : c1e3
Wed Mar 29 15:43:20 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:44:12 EDT 2017 |  coup(joue) H : c1e3
Wed Mar 29 15:44:12 EDT 2017 |  coup(inscrit) H : c1e3
Wed Mar 29 15:44:12 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:44:52 EDT 2017 |  coup(joue) H : c1e3
Wed Mar 29 15:44:52 EDT 2017 |  coup(inscrit) H : c1e3
Wed Mar 29 15:44:52 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:45:00 EDT 2017 |  coup(joue) H : e3c1
Wed Mar 29 15:45:00 EDT 2017 |  coup(inscrit) H : e3c1
Wed Mar 29 15:45:00 EDT 2017 |  coup M : f6e4
Wed Mar 29 15:45:18 EDT 2017 |  coup(joue) H : c1a3
Wed Mar 29 15:45:18 EDT 2017 |  coup(inscrit) H : c1a3
Wed Mar 29 15:46:48 EDT 2017 |  coup(joue) H : c1a3
Wed Mar 29 15:46:48 EDT 2017 |  coup(inscrit) H : c1a3
Wed Mar 29 15:47:22 EDT 2017 |  coup(joue) H : c1e3
Wed Mar 29 15:47:22 EDT 2017 |  coup(inscrit) H : c1e3
Wed Mar 29 15:47:22 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:47:28 EDT 2017 |  coup(joue) H : ce3c
Wed Mar 29 15:47:28 EDT 2017 |  coup(inscrit) H : c53351
Wed Mar 29 15:47:39 EDT 2017 |  coup(joue) H : c1a3
Wed Mar 29 15:47:39 EDT 2017 |  coup(inscrit) H : c1a3
Wed Mar 29 15:47:39 EDT 2017 |  coup M : g8f6
Wed Mar 29 15:47:53 EDT 2017 |  coup(joue) H : c1a3
Wed Mar 29 15:47:53 EDT 2017 |  coup(inscrit) H : c1a3
Wed Mar 29 15:48:12 EDT 2017 |  coup(joue) H : c1e3
Wed Mar 29 15:48:12 EDT 2017 |  coup(inscrit) H : c1e3
